,averagerating,numvotes,title,genres,Sport,Fantasy,Mystery,War,Biography,Drama,Comedy,History,Crime,Horror,Family,Adventure,Romance,Documentary,Sci-Fi,Action,Thriller,Music,Animation,year,dom_gross,for_gross,world_gross
602,6.5,576909,Batman v Superman: Dawn of Justice,"Action,Adventure,Fantasy",False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,2016,330400000.0,543300000.0,873700000.0
603,6.4,7579,Dolphin Tale 2,"Drama,Family",False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,2014,42000000.0,15800000.0,57800000.0
604,6.1,2676,The Forbidden Room,"Comedy,Mystery",False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2015,34400.0,,
605,6.6,3684,The World of Kanako,"Drama,Mystery,Thriller",False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,2015,16600.0,,
606,4.7,34816,The Boy Next Door,"Horror,Thriller",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,2015,35400000.0,17000000.0,52400000.0
607,7.3,905,Advanced Style,"Biography,Comedy,Documentary",False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2014,87900.0,,
608,7.3,5449,April and the Extraordinary World,"Adventure,Animation,Comedy",False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,2016,295000.0,,
609,5.8,7194,Lila & Eve,"Crime,Drama,Mystery",False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,2015,38300.0,,
610,7.5,3773,Stations of the Cross,Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2015,1500.0,,
611,6.8,1127,Steve McQueen: The Man & Le Mans,Documentary,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2015,6800.0,,
612,7.0,226243,Solo: A Star Wars Story,"Action,Adventure,Fantasy",False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,2018,213800000.0,179200000.0,393000000.0
613,5.8,148,Explosion,"Action,Thriller",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,2017,123000.0,,
614,7.7,97991,Searching,"Drama,Mystery,Thriller",False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,2018,26000000.0,49400000.0,75400000.0
615,8.5,6,Big,Documentary,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1988,114968774.0,36700000.0,151668774.0
616,7.0,683264,Thor,"Action,Adventure,Fantasy",False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,2011,181000000.0,268300000.0,449300000.0
617,5.7,108320,Priest,"Action,Adventure,Fantasy",False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,2011,29100000.0,49200000.0,78300000.0
618,8.1,611299,How to Train Your Dragon,"Action,Adventure,Animation",False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,2010,217600000.0,277300000.0,494900000.0
619,7.6,9746,Blancanieves,"Drama,Fantasy",False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2013,280000.0,,
620,5.5,302,Love in Space,"Comedy,Romance",False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2011,34800.0,,
621,6.8,46804,The East,"Adventure,Drama,Thriller",False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,2013,2300000.0,99700.0,2399700.0
622,6.1,64,Elektra,"Drama,Thriller",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,2005,24409722.0,32414911.0,56824633.0
623,7.4,27285,In the House,"Drama,Mystery,Thriller",False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,2013,390000.0,11500000.0,11890000.0
